accuracy,precision,recall,f1,auc,fnr,cm,loss,encoder,fold,seed,mode,best_epoch,betas,fpr,auprc,balanced_acc,specificity,mcc
0.829411765,0.878378378,0.764705882,0.817610063,0.846539792,0.235294118,"[[152, 18], [40, 130]]",23.52128887,Delta-Mod,1,42,within,30,"{'b1': 0.9094655513763428, 'b2': 1.0052911043167114, 'b3': 1.0249032974243164}",,,,,
0.5,0.5,1,0.666666667,0.5,0,"[[0, 170], [0, 170]]",167.4650269,Delta-Mod,1,123,within,1,"{'b1': 0.8532537221908569, 'b2': 0.9046773910522461, 'b3': 0.9607405662536621}",,,,,
0.832352941,0.889655172,0.758823529,0.819047619,0.855986159,0.241176471,"[[154, 16], [41, 129]]",22.97391319,Delta-Mod,1,456,within,35,"{'b1': 0.9074705839157104, 'b2': 1.0045061111450195, 'b3': 1.0245918035507202}",,,,,
0.835294118,0.925373134,0.729411765,0.815789474,0.864602076,0.270588235,"[[160, 10], [46, 124]]",22.87541008,Delta-Mod,2,42,within,29,"{'b1': 0.9082598686218262, 'b2': 1.000840187072754, 'b3': 1.0250258445739746}",,,,,
0.676470588,0.641509434,0.8,0.712041885,0.786972318,0.2,"[[94, 76], [34, 136]]",46.35727882,Delta-Mod,2,123,within,7,"{'b1': 0.9110488295555115, 'b2': 0.9707335233688354, 'b3': 1.0197291374206543}",,,,,
0.817647059,0.855263158,0.764705882,0.807453416,0.83816609,0.235294118,"[[148, 22], [40, 130]]",23.92208862,Delta-Mod,2,456,within,34,"{'b1': 0.9069181084632874, 'b2': 1.0068089962005615, 'b3': 1.0243474245071411}",,,,,
0.852941176,0.875,0.823529412,0.848484848,0.891799308,0.176470588,"[[150, 20], [30, 140]]",25.93040657,Delta-Mod,3,42,within,40,"{'b1': 0.9102733731269836, 'b2': 1.0056930780410767, 'b3': 1.0248606204986572}",,,,,
0.5,0.5,1,0.666666667,0.5,0,"[[0, 170], [0, 170]]",167.4530258,Delta-Mod,3,123,within,1,"{'b1': 0.8533072471618652, 'b2': 0.9048730731010437, 'b3': 0.960727870464325}",,,,,
0.855882353,0.885350318,0.817647059,0.850152905,0.891972318,0.182352941,"[[152, 18], [31, 139]]",26.07508278,Delta-Mod,3,456,within,44,"{'b1': 0.9044224619865417, 'b2': 1.0020325183868408, 'b3': 1.0245795249938965}",,,,,
0.882352941,0.933333333,0.823529412,0.875,0.914809689,0.176470588,"[[160, 10], [30, 140]]",24.52199364,Delta-Mod,4,42,within,23,"{'b1': 0.8996696472167969, 'b2': 0.9820785522460938, 'b3': 1.0247552394866943}",,,,,
0.755882353,0.81294964,0.664705882,0.731391586,0.807975779,0.335294118,"[[144, 26], [57, 113]]",46.23786736,Delta-Mod,4,123,within,7,"{'b1': 0.9112813472747803, 'b2': 0.9715659022331238, 'b3': 1.0195739269256592}",,,,,
0.867647059,0.925170068,0.8,0.858044164,0.907802768,0.2,"[[159, 11], [34, 136]]",25.18569756,Delta-Mod,4,456,within,22,"{'b1': 0.9068101048469543, 'b2': 0.9895198941230774, 'b3': 1.0244158506393433}",,,,,
0.882352941,0.927631579,0.829411765,0.875776398,0.916297578,0.170588235,"[[159, 11], [29, 141]]",17.3950901,PDE,0,42,within,32,"{'b1': 0.8912212252616882, 'b2': 1.0115517377853394, 'b3': 1.0223898887634277}",,,,,
0.885294118,0.933774834,0.829411765,0.878504673,0.915259516,0.170588235,"[[160, 10], [29, 141]]",17.66076469,PDE,0,123,within,30,"{'b1': 0.8874381184577942, 'b2': 1.0295970439910889, 'b3': 1.0122779607772827}",,,,,
0.894117647,0.929487179,0.852941176,0.889570552,0.920968858,0.147058824,"[[159, 11], [25, 145]]",18.21225929,PDE,0,456,within,26,"{'b1': 0.877321183681488, 'b2': 1.0139954090118408, 'b3': 1.027624487876892}",,,,,
0.844117647,0.877419355,0.8,0.836923077,0.878391003,0.2,"[[151, 19], [34, 136]]",20.41066074,PDE,1,42,within,43,"{'b1': 0.8762294054031372, 'b2': 1.0152759552001953, 'b3': 1.0171955823898315}",,,,,
0.832352941,0.850931677,0.805882353,0.827794562,0.878044983,0.194117647,"[[146, 24], [33, 137]]",23.56160069,PDE,1,123,within,24,"{'b1': 0.880804717540741, 'b2': 1.0162761211395264, 'b3': 1.0132943391799927}",,,,,
0.873529412,0.904458599,0.835294118,0.868501529,0.905346021,0.164705882,"[[155, 15], [28, 142]]",17.63475037,PDE,1,456,within,45,"{'b1': 0.8731663227081299, 'b2': 1.0234651565551758, 'b3': 1.0249476432800293}",,,,,
0.9,0.959459459,0.835294118,0.893081761,0.926539792,0.164705882,"[[164, 6], [28, 142]]",16.61660099,PDE,2,42,within,29,"{'b1': 0.8830357193946838, 'b2': 1.0137301683425903, 'b3': 1.0197910070419312}",,,,,
0.9,0.930379747,0.864705882,0.896341463,0.929775087,0.135294118,"[[159, 11], [23, 147]]",18.41570663,PDE,2,123,within,27,"{'b1': 0.8813152313232422, 'b2': 1.0187019109725952, 'b3': 1.0104070901870728}",,,,,
0.9,0.925,0.870588235,0.896969697,0.920968858,0.129411765,"[[158, 12], [22, 148]]",17.11448336,PDE,2,456,within,26,"{'b1': 0.8753756284713745, 'b2': 1.0099636316299438, 'b3': 1.0307806730270386}",,,,,
