encoder,thr,sparsity_event,sparsity_noise,sparsity_avg,snr,precision,in_target,step_size,kappa_phi,amp_kappa,alpha,tau_ms,lags
Delta-Mod,0.55,0.05940568313933909,0.06876445561647415,0.06408506937790662,1.13447360861906,0.19390247525763699,False,0.1,,,,,
Delta-Mod,0.55,0.053432196017820385,0.06330778449773788,0.058369990257779135,1.175273037966677,0.1968066271377029,False,0.12,,,,,
Delta-Mod,0.55,0.04472554640378803,0.05463317036628723,0.049679358385037634,1.2461562818800598,0.20130372975429053,False,0.15,,,,,
Delta-Mod,0.55,0.03101670763338916,0.03944829851388931,0.03523250307363924,1.3864439842840313,0.2092481727118138,False,0.2,,,,,
Delta-Mod,0.6,0.05313179984223097,0.06283489614725113,0.05798334799474105,1.1619280694989076,0.19601857608708087,False,0.05,,,,,
Delta-Mod,0.6,0.047118568939040414,0.056922778487205505,0.05202067371312296,1.1999873817977778,0.19874857074231841,False,0.08,,,,,
Delta-Mod,0.6,0.05058174184057861,0.059827543795108795,0.05520464281784371,1.1621397666651008,0.1961731260531815,False,0.1,,,,,
Delta-Mod,0.6,0.05006864751398098,0.05934016406536102,0.054704405789671,1.1794536896956014,0.1972429757140344,False,0.12,,,,,
Delta-Mod,0.6,0.0409038490295643,0.05007556453347206,0.04548970678151818,1.2542149573257075,0.20194572177890222,False,0.15,,,,,
Delta-Mod,0.6,0.026833756856212858,0.03422171249985695,0.030527734678034903,1.4043313481954716,0.21037367572367657,False,0.2,,,,,
Delta-Mod,0.65,0.035651625693717506,0.044489771127700806,0.040070698410709156,1.2898691241902407,0.20437960348208434,False,0.05,,,,,
Delta-Mod,0.65,0.034808288973581514,0.043384671211242676,0.039096480092412095,1.2928624244524545,0.20459773528564257,False,0.08,,,,,
Delta-Mod,0.65,0.028619521916552912,0.036395538598299026,0.03250753025742597,1.3764131011953578,0.20910995779151562,False,0.1,,,,,
Delta-Mod,0.65,0.026930935881391633,0.03427639976143837,0.030603667821415,1.3599766628392362,0.20895490767899902,False,0.12,,,,,
Delta-Mod,0.65,0.0329923087451607,0.04118868708610535,0.03709049791563303,1.2895624856259054,0.20466349119378718,False,0.15,,,,,
Delta-Mod,0.65,0.02608044392778538,0.03323701396584511,0.029658728946815247,1.4054486330209721,0.21043137803906575,False,0.2,,,,,
Delta-Mod,0.7,0.021762663971749134,0.02816734090447426,0.024965002438111696,1.4614430145941677,0.21343213840504177,False,0.05,,,,,
Delta-Mod,0.7,0.01922431016137125,0.02500169910490513,0.02211300463313819,1.5250979460382512,0.21604361508216244,False,0.08,,,,,
Delta-Mod,0.7,0.020451536896580365,0.026507729664444923,0.023479633280512644,1.4676296171644772,0.21386315488780383,False,0.1,,,,,
Delta-Mod,0.7,0.01741918033978436,0.022696776315569878,0.02005797832767712,1.5618940557904577,0.21778587248525583,False,0.12,,,,,
Delta-Mod,0.7,0.013286417360650376,0.017442001029849052,0.015364209195249714,1.6261046880783743,0.22115961359639186,False,0.15,,,,,
Delta-Mod,0.7,0.019807004774047527,0.025650475174188614,0.02272873997411807,1.4603252946862546,0.21365482995897764,False,0.2,,,,,
Delta-Mod,0.75,0.012132964451302542,0.0160443764179945,0.01408867043464852,1.6791463796081143,0.22332129403221188,True,0.05,,,,,
Delta-Mod,0.75,0.011199887301190757,0.0148270633071661,0.013013475304178429,1.710192318558899,0.22449331206153147,True,0.08,,,,,
Delta-Mod,0.75,0.009726772529247682,0.012872742488980293,0.011299757509113988,1.788819435418623,0.22734443275694502,True,0.1,,,,,
Delta-Mod,0.75,0.010550782116333722,0.01396599318832159,0.012258387652327656,1.7095072602277492,0.22474846473516663,True,0.12,,,,,
Delta-Mod,0.75,0.008374583359400277,0.011072979308664799,0.009723781334032539,1.85944075028998,0.22979285729466936,True,0.15,,,,,
Delta-Mod,0.75,0.0065841256799467375,0.008671397343277931,0.007627761511612334,1.9039969165892177,0.23087164490440046,True,0.2,,,,,
Delta-Mod,0.8,0.006227708335936768,0.008260607719421387,0.0072441580276790775,2.0312057787002358,0.2337382738494489,True,0.05,,,,,
Delta-Mod,0.8,0.005914371571416268,0.007831010967493057,0.006872691269454663,2.0252201484795602,0.23474853330262704,True,0.08,,,,,
Delta-Mod,0.8,0.0058115846954751756,0.0076978993602097034,0.0067547420278424395,2.0410341209777774,0.23447022861932054,True,0.1,,,,,
Delta-Mod,0.8,0.0044802800538309385,0.00588302593678236,0.00518165299530665,2.2179062843458333,0.23924607094813838,True,0.12,,,,,
Delta-Mod,0.8,0.005652995211130473,0.007492715027183294,0.006572855119156884,2.0358321680023574,0.2343572755045898,True,0.15,,,,,
Delta-Mod,0.8,0.0025385177592397667,0.0032484768889844418,0.0028934973241121044,2.6284395054874814,0.24853814043890451,False,0.2,,,,,
Delta-Mod,0.85,0.0029698394851584453,0.0038630294147878885,0.0034164344499731667,2.5529535652682465,0.24575006296101493,True,0.05,,,,,
Delta-Mod,0.85,0.0026759938520262948,0.0034565161913633347,0.0030662550216948147,2.607226551461781,0.24757261081016624,True,0.08,,,,,
Delta-Mod,0.85,0.0024536407129198776,0.0031502628698945045,0.002801951791407191,2.654035123188147,0.24906788251479156,False,0.1,,,,,
Delta-Mod,0.85,0.002764620899979491,0.0035861509386450052,0.003175385919312248,2.5819840540596464,0.24629065344342962,True,0.12,,,,,
Delta-Mod,0.85,0.0018983469965314726,0.0024065093602985144,0.0021524281784149933,2.8417833974794298,0.25192675529542613,False,0.15,,,,,
Delta-Mod,0.85,0.0018939958995906636,0.0023828481789678335,0.0021384220392792483,2.838487742109282,0.2532875327015063,False,0.2,,,,,
PDE,,0.0627935587707907,0.06256807595491409,0.06268081736285239,1.129099692112893,0.19703008553013204,False,,1.0,0.5,,,
PDE,,0.04282303961925209,0.04228689521551132,0.042554967417381705,1.181747106557535,0.20267879165709018,False,,1.0,0.8,,,
PDE,,0.03247904710005969,0.031730279326438904,0.0321046632132493,1.230419129920094,0.20745755931362508,False,,1.0,1.0,,,
PDE,,0.015279327142052353,0.01414283737540245,0.014711082258727401,1.4230739047258134,0.22360939246253111,True,,1.0,1.5,,,
