alpha,lags,min_votes,ws,thr_s,sparsity_event,sparsity_noise,sparsity_avg,sp_ratio,snr,precision,in_target
3.0,"[1, 3, 8]",1,8,0.5,0.023691103137098254,0.026922140270471573,0.025306621703784914,0.8799858740459373,2.762201843702183,0.26288968526176176,False
3.0,"[1, 3, 8]",1,16,0.2,0.08751037579961121,0.08162759989500046,0.08456898784730583,1.0720684659622224,1.4586927961154612,0.22347710190755607,False
3.0,"[1, 3, 8]",1,16,0.35,0.07237034839577973,0.07666757702827454,0.07451896271202713,0.9439498573052594,1.8197435743131316,0.23714155842348192,False
3.0,"[1, 3, 8]",1,16,0.5,0.041169976191595195,0.046920232474803925,0.04404510433319956,0.8774461254790967,2.633999064584751,0.2582917805571924,False
3.0,"[1, 3, 8]",2,4,0.2,0.005381243163137697,0.0031546277459710836,0.00426793545455439,1.70582509141065,2.430889005453069,0.2783983799647831,True
3.0,"[1, 3, 8]",2,4,0.35,0.003274344265810214,0.002493261592462659,0.0028838029291364366,1.3132774658338435,2.8814546857015535,0.28133215358364394,False
3.0,"[1, 3, 8]",2,4,0.5,0.0015057752732536755,0.0012755702482536435,0.0013906727607536596,1.180472243935762,3.5152280304945873,0.28738724056383946,False
3.0,"[1, 3, 8]",2,8,0.2,0.007011632519424893,0.003381704445928335,0.005196668482676614,2.073401928387648,2.3150026978993155,0.2764539450041775,True
3.0,"[1, 3, 8]",2,8,0.35,0.005149839476216584,0.003005126491189003,0.004077482983702793,1.7136847621276028,3.0091223751728,0.28881885983142636,True
3.0,"[1, 3, 8]",2,8,0.5,0.0034140402846969662,0.002198961563408375,0.0028065009240526703,1.5525693315917846,3.993923404228897,0.2964072408006541,False
3.0,"[1, 3, 8]",2,16,0.2,0.007858510942314751,0.0035264240577816963,0.005692467500048224,2.22846453334888,2.1376568568362955,0.2681780453585088,True
3.0,"[1, 3, 8]",2,16,0.35,0.006154057368403301,0.0032380225602537394,0.004696039964328521,1.9005603740824628,2.798969943363902,0.28379777450307303,True
3.0,"[1, 3, 8]",2,16,0.5,0.004605819673743099,0.0027165370993316174,0.0036611783865373583,1.6954746080501992,3.905954620865424,0.2954261316249904,True
3.0,"[1, 3, 8]",3,4,0.2,0.0004488524578016495,7.246926543302834e-05,0.0002606608616173389,6.193694045601324,47.485230518403625,0.47886847235480673,False
3.0,"[1, 3, 8]",3,4,0.35,0.00023269125751113507,4.3418713175924495e-05,0.00013805498534352978,5.359238920055361,45.65050660619072,0.4964795279104146,False
3.0,"[1, 3, 8]",3,4,0.5,0.00010443989042869362,2.234972816950176e-05,6.339480929909769e-05,4.672982581113061,31.601187963175235,0.5028006959194318,False
3.0,"[1, 3, 8]",3,8,0.2,0.0006314583329481138,8.934768266044557e-05,0.0003604030078042797,7.067428210174072,44.83578399818213,0.4708083969684958,False
3.0,"[1, 3, 8]",3,8,0.35,0.00044529713059148434,6.323087291093543e-05,0.0002542640017512099,7.042400493485401,52.23029684503983,0.49600839193055435,False
3.0,"[1, 3, 8]",3,8,0.5,0.00029726434535120916,3.880464646499604e-05,0.0001680344959081026,7.6605348181527235,45.63947296195761,0.5099571537220617,False
3.0,"[1, 3, 8]",3,16,0.2,0.0007057650306228425,9.778688399819657e-05,0.00040177595731051953,7.217379282029873,39.742119419890585,0.460678089720459,False
3.0,"[1, 3, 8]",3,16,0.35,0.0005451536889052022,7.737705163890496e-05,0.0003112653702720536,7.045418213261314,48.61685126391343,0.48284000050607573,False
3.0,"[1, 3, 8]",3,16,0.5,0.00040634904295131944,4.947745765093714e-05,0.0002279132503011283,8.212811697361392,47.78151864456404,0.5040525533215259,False
3.0,"[1, 4, 12]",1,4,0.2,0.07641921795904637,0.0837550163269043,0.08008711714297534,0.9124136238094018,1.5280083465261156,0.2241686428790854,False
3.0,"[1, 4, 12]",1,4,0.35,0.037223411917220804,0.04606634005904198,0.041644875988131394,0.8080392726991675,1.900217144097165,0.23717320473617293,False
3.0,"[1, 4, 12]",1,4,0.5,0.010430806007352657,0.013339247554540634,0.011885026780946646,0.7819635976245187,2.5115108591878874,0.2538145346094825,True
3.0,"[1, 4, 12]",1,8,0.2,0.09434615097939968,0.09518234431743622,0.09476424764841795,0.9912148272451894,1.4691476016124778,0.22242373374916496,False
3.0,"[1, 4, 12]",1,8,0.35,0.06579244554974138,0.07547196000814438,0.07063220277894289,0.8717468784783322,1.8586825447883848,0.23714397478302998,False
3.0,"[1, 4, 12]",1,8,0.5,0.027145539680495857,0.03207674250006676,0.029611141090281307,0.8462685910341227,2.662963795085038,0.2583612719741359,False
3.0,"[1, 4, 12]",1,16,0.2,0.10135682369582355,0.09725072979927063,0.09930377674754709,1.0422217283616078,1.4152142281325362,0.21953432721107674,False
3.0,"[1, 4, 12]",1,16,0.35,0.0844909154670313,0.09180430322885513,0.08814760934794322,0.9203372009306297,1.7639275313801621,0.2329940039985013,False
3.0,"[1, 4, 12]",1,16,0.5,0.04753744186367839,0.05614733695983887,0.05184238941175863,0.8466553257491273,2.5669444210310335,0.25422954651599866,False
3.0,"[1, 4, 12]",2,4,0.2,0.010921161191072315,0.008826000615954399,0.009873580903513358,1.2373850474619932,1.976216066289319,0.2530962220954098,True
3.0,"[1, 4, 12]",2,4,0.35,0.006452141389017924,0.006225405726581812,0.006338773557799868,1.0364210257763564,2.354599995917172,0.25987926788664484,True
3.0,"[1, 4, 12]",2,4,0.5,0.002519764345197473,0.0025361476000398397,0.0025279559726186563,0.9935401019869232,2.9048730663348166,0.2700618198979646,False
3.0,"[1, 4, 12]",2,8,0.2,0.013379118866287171,0.00946646835654974,0.011422793611418455,1.4133168107016714,1.8993841740614419,0.25176736111687203,True
3.0,"[1, 4, 12]",2,8,0.35,0.010074562842492014,0.008348565548658371,0.009211564195575193,1.206741779024663,2.3902499166151836,0.2634201845199641,True
3.0,"[1, 4, 12]",2,8,0.5,0.0057563251326791945,0.0049704439006745815,0.005363384516676888,1.1581108745434094,3.253383864669015,0.27662552412577496,True
3.0,"[1, 4, 12]",2,16,0.2,0.014608224069233984,0.009749217890202999,0.012178720979718491,1.4983995879211816,1.8038980989538844,0.2468009768565389,True
3.0,"[1, 4, 12]",2,16,0.35,0.011945392759516836,0.009205877780914307,0.010575635270215572,1.2975832445095146,2.2762961838686198,0.25993284292106184,True
3.0,"[1, 4, 12]",2,16,0.5,0.008250546464696527,0.006976174656301737,0.007613360560499132,1.182674871427369,3.1775807735948685,0.274304093119863,True
3.0,"[1, 4, 12]",3,4,0.2,0.0006664890741012641,9.33743140194565e-05,0.0003799316940603603,7.137820299942306,32.39977361202505,0.4552079134000087,False
3.0,"[1, 4, 12]",3,4,0.35,0.00035157445287609335,4.946380067849532e-05,0.00020051912677729433,7.107712065258714,36.104625877440554,0.48282183408322454,False
3.0,"[1, 4, 12]",3,4,0.5,0.00016708333330001324,2.4166665753000416e-05,9.562499952650683e-05,6.913793363458465,26.54795083406686,0.4978063732868759,False
3.0,"[1, 4, 12]",3,8,0.2,0.0009315095570627818,0.00012543033517431468,0.0005284699461185483,7.4265093509335856,25.933846644763825,0.44148651609095396,False
3.0,"[1, 4, 12]",3,8,0.35,0.0006271892060385653,7.793374243192375e-05,0.00035256147423524454,8.047723443878294,39.12523180876161,0.47500804029979915,False
3.0,"[1, 4, 12]",3,8,0.5,0.0004040266399738357,4.360997263574973e-05,0.0002238183063047927,9.264546972969908,36.27133364207174,0.4987078137224307,False
3.0,"[1, 4, 12]",3,16,0.2,0.0010706250007433483,0.0001442588836653158,0.000607441942204332,7.421553345908491,20.47327257451362,0.4256185500649735,False
3.0,"[1, 4, 12]",3,16,0.35,0.0007898838812070608,0.00010544058022787794,0.00044766223071746936,7.491270244340135,28.395873478081654,0.4533681262760365,False
3.0,"[1, 4, 12]",3,16,0.5,0.0005553654365371586,5.9678961406461895e-05,0.00030752219897181023,9.30588306915517,36.331046277209886,0.48515621859580277,False
3.0,"[2, 4, 8]",1,4,0.2,0.08960881496779621,0.09925199300050735,0.09443040398415178,0.9028414670457867,1.5007423503411812,0.2227623929864785,False
3.0,"[2, 4, 8]",1,4,0.35,0.04326855199411511,0.05407087877392769,0.0486697153840214,0.800219137828747,1.872178460208342,0.23612040653948496,False
3.0,"[2, 4, 8]",1,4,0.5,0.011850440567359328,0.015303411521017551,0.01357692604418844,0.7743659347514802,2.488309727470829,0.25360119154815036,True
3.0,"[2, 4, 8]",1,8,0.2,0.11056850742548704,0.11286510527133942,0.11171680634841323,0.9796518344590995,1.4403836377538708,0.2207697042655491,False
3.0,"[2, 4, 8]",1,8,0.35,0.07695805340074002,0.08928662538528442,0.08312233939301222,0.8619214027706292,1.8199911969940796,0.23573688198550372,False
3.0,"[2, 4, 8]",1,8,0.5,0.031163241122849284,0.0373137891292572,0.03423851512605324,0.8351668873642918,2.617938117911525,0.2575689447220793,False
3.0,"[2, 4, 8]",1,16,0.2,0.11864119176752866,0.11524981260299683,0.11694550218526274,1.029426331270613,1.3877817361352538,0.21787223888008156,False
3.0,"[2, 4, 8]",1,16,0.35,0.09903711060993374,0.10884571820497513,0.10394141440745444,0.9098852232609638,1.7218273359726088,0.2313898572944163,False
3.0,"[2, 4, 8]",1,16,0.5,0.05521053959149867,0.06603243947029114,0.060621489530894905,0.8361123719552814,2.4983141204300474,0.25296460001860394,False
3.0,"[2, 4, 8]",2,4,0.2,0.016098159144166856,0.013382985256612301,0.014740572200389579,1.2028825284861637,1.9675623524641264,0.25345330833806656,True
3.0,"[2, 4, 8]",2,4,0.35,0.009490450860466808,0.009425115771591663,0.009457783316029235,1.0069320197712661,2.329904280139224,0.2604543233980803,True
3.0,"[2, 4, 8]",2,4,0.5,0.003691441263654269,0.0038720082957297564,0.0037817247796920125,0.9533660523727118,2.9133974558469706,0.27167333125849835,True
3.0,"[2, 4, 8]",2,8,0.2,0.019968538233079015,0.014480113051831722,0.01722432564245537,1.3790319289360113,1.8941537818186305,0.2519601394229539,False
3.0,"[2, 4, 8]",2,8,0.35,0.014911465169861913,0.012637424282729626,0.01377444472629577,1.179944966336218,2.380184257122246,0.26425126408030336,True
3.0,"[2, 4, 8]",2,8,0.5,0.008574487707810476,0.007602305617183447,0.008088396662496961,1.1278799011223137,3.226087222835316,0.2785530091750843,True
3.0,"[2, 4, 8]",2,16,0.2,0.021918698768131434,0.014911932870745659,0.018415315819438546,1.469876437757556,1.7932487895164615,0.2469855202653707,False
3.0,"[2, 4, 8]",2,16,0.35,0.017840754783246666,0.014048364013433456,0.01594455939834006,1.2699524845873025,2.257181583046526,0.2604508997771154,False
3.0,"[2, 4, 8]",2,16,0.5,0.01240153347607702,0.01066556666046381,0.011533550068270415,1.1627636740622762,3.156399621998284,0.2761076597131614,True
3.0,"[2, 4, 8]",3,4,0.2,0.0013798497307288926,0.00035612023202702403,0.0008679849813779583,3.8746737945070846,3.794530749608043,0.3621797716789297,False
3.0,"[2, 4, 8]",3,4,0.35,0.0007030464478884824,0.00023683060135226697,0.0004699385246203747,2.9685625247505745,4.088381642340169,0.36852578743848424,False
3.0,"[2, 4, 8]",3,4,0.5,0.0003077459020278184,0.00012323087139520794,0.00021548838671151316,2.4973117413157047,4.424667072715657,0.3703571402822854,False
3.0,"[2, 4, 8]",3,8,0.2,0.0020168818322053995,0.00041976780630648136,0.0012183248192559404,4.804755871947053,3.751710279953553,0.35807016128608665,False
3.0,"[2, 4, 8]",3,8,0.35,0.0013705464498707442,0.0003080020542256534,0.0008392742520481988,4.4497964577425595,4.7866215250080675,0.37978221895798925,False
3.0,"[2, 4, 8]",3,8,0.5,0.0008969535523283412,0.00020503414270933717,0.0005509938475188392,4.3746545842362,5.796256976156189,0.379742059350101,False
3.0,"[2, 4, 8]",3,16,0.2,0.0023018510851397877,0.00046168031985871494,0.0013817657024992513,4.985811580281803,3.420540484805118,0.3439688110759016,False
3.0,"[2, 4, 8]",3,16,0.35,0.001721741793626279,0.00036909832851961255,0.0010454200610729458,4.664723897645047,4.393476501176206,0.3675552621355928,False
3.0,"[2, 4, 8]",3,16,0.5,0.0012622404370267759,0.00025730193010531366,0.0007597711835660448,4.905678074432403,5.844111878265871,0.37875749178445406,False
3.5,"[1, 4, 8]",1,4,0.2,0.050045672790147364,0.051518514752388,0.05078209377126768,0.9714114048256337,1.6392222384335386,0.23293673979394952,False
3.5,"[1, 4, 8]",1,4,0.35,0.026512015032349154,0.03120427578687668,0.028858145409612915,0.8496276347967381,2.005670739141769,0.2440763292826159,False
3.5,"[1, 4, 8]",1,4,0.5,0.008251058752648532,0.010052450001239777,0.009151754376944155,0.8208007750977048,2.6110493527491485,0.25960134584594924,True
