encoder,thr,sparsity_event,sparsity_noise,sparsity_avg,snr,precision,in_target,step_size,kappa_phi,amp_kappa,alpha,tau_ms,lags,thr_t,thr_s,wt_ms,ws,K,encode_window_ms
Phase,0.65,0.0725846584723331,0.09157278388738632,0.0820787211798597,1.3388207867787054,0.20680289161507973,False,,,,,,,,,,,,
Phase,0.7,0.040026263631880284,0.05214065685868263,0.046083460245281455,1.5428851881863368,0.21642691126908176,False,,,,,,,,,,,,
Phase,0.75,0.020533924196497536,0.02717645652592182,0.02385519036120968,1.8030931713635328,0.22676907443776145,False,,,,,,,,,,,,
Phase,0.8,0.009835867483634502,0.01298241876065731,0.011409143122145906,2.1799921838236798,0.23769246967247454,True,,,,,,,,,,,,
Phase,0.85,0.004435676224529743,0.005702342838048935,0.005069009531289339,2.7106722388482636,0.24888215755243437,True,,,,,,,,,,,,
Phase,0.9,0.0018915539667068515,0.002290068194270134,0.0020908110804884928,3.4444723409597975,0.2599968578584958,False,,,,,,,,,,,,
Phase,0.95,0.0007516632509941701,0.0008223975310102105,0.0007870303910021902,4.668484769636438,0.2691114551742794,False,,,,,,,,,,,,
TTFS,0.4,0.43349025256931784,0.4185551106929779,0.42602268163114787,0.9919957927967848,0.1788108056411147,False,,,,,,,,,,,,
TTFS,0.45,0.38163333281874656,0.3650411367416382,0.3733372347801924,0.9901614150816765,0.1785342888906598,False,,,,,,,,,,,,
TTFS,0.5,0.2943978044390678,0.29429492354393005,0.29434636399149894,1.0004670503620887,0.18006874136626722,False,,,,,,,,,,,,
TTFS,0.55,0.1933240198902786,0.2163875550031662,0.2048557874467224,1.0743278777993082,0.18873829500051215,False,,,,,,,,,,,,
TTFS,0.6,0.12240406069206074,0.14709749817848206,0.1347507794352714,1.1874484686134739,0.19772131295874715,False,,,,,,,,,,,,
TTFS,0.65,0.0725846584723331,0.09157278388738632,0.0820787211798597,1.3388207867787054,0.20680289161507973,False,,,,,,,,,,,,
TTFS,0.7,0.040026263631880284,0.05214065685868263,0.046083460245281455,1.5428851881863368,0.21642691126908176,False,,,,,,,,,,,,
TTFS,0.75,0.020533924196497536,0.02717645652592182,0.02385519036120968,1.8030931713635328,0.22676907443776145,False,,,,,,,,,,,,
TTFS,0.8,0.009835867483634502,0.01298241876065731,0.011409143122145906,2.1799921838236798,0.23769246967247454,True,,,,,,,,,,,,
TTFS,0.85,0.004435676224529743,0.005702342838048935,0.005069009531289339,2.7106722388482636,0.24888215755243437,True,,,,,,,,,,,,
TTFS,0.9,0.0018915539667068515,0.002290068194270134,0.0020908110804884928,3.4444723409597975,0.2599968578584958,False,,,,,,,,,,,,
TTFS,0.95,0.0007516632509941701,0.0008223975310102105,0.0007870303910021902,4.668484769636438,0.2691114551742794,False,,,,,,,,,,,,
Delta-Mod,0.4,0.10954201485030353,0.11257478594779968,0.1110584003990516,1.0127626415266509,0.18173102801665664,False,0.02,,,,,,,,,,,
Delta-Mod,0.4,0.09647932724561542,0.10212196409702301,0.09930064567131922,1.0303574619103386,0.18388331073336303,False,0.04,,,,,,,,,,,
Delta-Mod,0.4,0.08735156781040132,0.09483616054058075,0.09109386417549103,1.0522230294866666,0.1862718091439456,False,0.06,,,,,,,,,,,
Delta-Mod,0.4,0.0796106455498375,0.08867625892162323,0.08414345223573036,1.0793781210083,0.18889063355745747,False,0.08,,,,,,,,,,,
Delta-Mod,0.4,0.07244721984956413,0.08279817551374435,0.07762269768165425,1.1130857482378405,0.19173848156700843,False,0.1,,,,,,,,,,,
Delta-Mod,0.4,0.06526210729382001,0.07642912119626999,0.070845614245045,1.1530195520097115,0.19470427333493717,False,0.12,,,,,,,,,,,
Delta-Mod,0.4,0.05459310806996655,0.06614205241203308,0.060367580240999814,1.2266563112686653,0.19934600444859826,False,0.15,,,,,,,,,,,
Delta-Mod,0.4,0.044173644123948176,0.05511526018381119,0.04964445215387968,1.3132535121628286,0.20423389762232547,False,0.18,,,,,,,,,,,
Delta-Mod,0.4,0.03756644127483014,0.04765373840928078,0.04261008984205546,1.3768997929257583,0.20763174571853596,False,0.2,,,,,,,,,,,
