f1,recall,fnr,fpr,auprc,accuracy,balanced_acc,precision,specificity,auc,mcc,cm,loss,variant,fold,seed,mode,best_epoch,betas
0.919075145,0.935294118,0.064705882,0.1,0.902689472,0.917647059,0.917647059,0.903409091,0.9,0.940847751,0.835814857,"[[153, 17], [11, 159]]",14.51817036,No_Spatial,2,123,ablation,46,"{'b1': 0.8798261880874634, 'b2': 0.9669652581214905, 'b3': 1.0195573568344116}"
0.909090909,0.882352941,0.117647059,0.058823529,0.925123199,0.911764706,0.911764706,0.9375,0.941176471,0.944567474,0.824957911,"[[160, 10], [20, 150]]",15.21302271,No_Spatial,2,456,ablation,43,"{'b1': 0.8742573261260986, 'b2': 0.9311422109603882, 'b3': 0.9766026735305786}"
0.946745562,0.941176471,0.058823529,0.047058824,0.944318529,0.947058824,0.947058824,0.952380952,0.952941176,0.961816609,0.89417953,"[[162, 8], [10, 160]]",13.87706518,No_Spatial,3,42,ablation,42,"{'b1': 0.8805713653564453, 'b2': 0.9451737999916077, 'b3': 1.0044418573379517}"
0.930635838,0.947058824,0.052941176,0.088235294,0.920957421,0.929411765,0.929411765,0.914772727,0.911764706,0.950553633,0.859358937,"[[155, 15], [9, 161]]",15.57363224,No_Spatial,3,123,ablation,46,"{'b1': 0.8762837648391724, 'b2': 0.9219362735748291, 'b3': 1.0157641172409058}"
0.939759036,0.917647059,0.082352941,0.035294118,0.96055751,0.941176471,0.941176471,0.962962963,0.964705882,0.971038062,0.883331567,"[[164, 6], [14, 156]]",15.83742237,No_Spatial,3,456,ablation,42,"{'b1': 0.8788694143295288, 'b2': 0.9336739778518677, 'b3': 0.9747016429901123}"
0.926686217,0.929411765,0.070588235,0.076470588,0.914927906,0.926470588,0.926470588,0.923976608,0.923529412,0.944584775,0.852955934,"[[157, 13], [12, 158]]",15.21741724,No_Spatial,4,42,ablation,59,"{'b1': 0.8756826519966125, 'b2': 1.0107181072235107, 'b3': 1.0135815143585205}"
0.931343284,0.917647059,0.082352941,0.052941176,0.929611275,0.932352941,0.932352941,0.945454545,0.947058824,0.94982699,0.865080133,"[[161, 9], [14, 156]]",14.7223897,No_Spatial,4,123,ablation,58,"{'b1': 0.8700429201126099, 'b2': 1.0100525617599487, 'b3': 1.0306634902954102}"
0.927536232,0.941176471,0.058823529,0.088235294,0.906587447,0.926470588,0.926470588,0.914285714,0.911764706,0.939515571,0.853310335,"[[155, 15], [10, 160]]",15.73494148,No_Spatial,4,456,ablation,53,"{'b1': 0.8786494731903076, 'b2': 0.9440089464187622, 'b3': 0.9888200163841248}"
0.916923077,0.876470588,0.123529412,0.035294118,0.925080674,0.920588235,0.920588235,0.961290323,0.964705882,0.939775087,0.844470191,"[[164, 6], [21, 149]]",14.88060951,Full_AMSTE,0,42,ablation,36,"{'b1': 0.8665810823440552, 'b2': 1.0257278680801392, 'b3': 1.0222134590148926}"
0.924471299,0.9,0.1,0.047058824,0.923436582,0.926470588,0.926470588,0.950310559,0.952941176,0.943010381,0.854138993,"[[162, 8], [17, 153]]",12.80814934,Full_AMSTE,0,123,ablation,50,"{'b1': 0.847064733505249, 'b2': 0.9942395687103271, 'b3': 1.0126656293869019}"
